house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
1 BHK Apartment,500 sq ft,Baghajatin,Kolkata,22.48353577,88.37228394,6000,INR,1,Posted 11 days ago,"If you are looking for a modern house on rent in Kolkata, this Apartment in Baghajatin can be your perfect home. It is a 1 BHK Apartment designed to meet your space and lifestyle needs. The 1 BHK unit is Unfurnished. This rented 1 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 1 out of a total 3 floors . The Apartment has 1 bedroom and 1 bathroom. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Apartment. It is a South-East facing Apartment designed as per vaastu principles. The carpet area of this unit is 400 Square feet. The built-up area is 500 Square feet. The monthly rent payable for this Apartment is Rs 6000. The security deposit is Rs 6000. Project Highlights The project also offers 1 BHK units. This Apartment provides power backup facility for the residents. The project also enjoys a strategic location with easy access to healthcare centres such as Angel Nursing Home, IRIS MULTISPECIALITY HOSPITAL, and KPC Medical College and Hospital",No Deposit,Unfurnished
2 BHK Independent House,870 sq ft,Sector 22,Kolkata,28.50530052,77.0643692,25000,INR,2,Posted 5 days ago,"A 2 bhk property is available for rent in Sector 22, Kolkata. It has area of 870 sqft and is available at a rent of Rs. 25,000. It is a semi-furnished property. It is west facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Apartment,"2,391 sq ft",Ballygunge,Kolkata,22.53968811,88.36130524,45000,INR,3,Posted a year ago,"A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Kolkata. It is a 4 BHK Apartment situated in Ballygunge at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Unfurnished. The 4 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is South facing, built as per vaastu principles. This 4 BHK unit is built on floor 5 out of a total 11 floors. There are 4 bedrooms and 3 bathroom. There are 1 balcony, giving majestic views of the outside world. The built-up area of this property is 2391 Square feet. Project Highlights The residential property provides various amenities such as Intercom, Community Hall. Residents of this Apartment can enjoy the serene and lush green surroundings. There is lift facility inside this property. Residents have access to power backup facility. State-of-the-art safety features like cctv facility gives a secure environment for families. Families living in this Apartment will find several hospitals in the neighbourhood like Naturoveda Health world, Belle Vue Clinic, and Fortis Medical Centre, Kolkata. They will also find shops and utility stores within easy reach. There are many schools in the vicinity, including The Bhawanipur Education Society College, St Xavier Collegiate School, and Don Bosco School",No Deposit,Unfurnished
2 BHK Apartment,"1,464 sq ft",New Town,Kolkata,22.56253433,88.49530029,40000,INR,2,Posted 11 days ago,"Itâs a 2 bhk multistorey apartment situated in New Town. It has a built-up area of 1464 sqft and is available for rent at Rs. 40,000 per month . It is a furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
2 BHK Independent House,800 sq ft,Garia,Kolkata,22.45468712,88.39008331,14000,INR,1,Posted 3 years ago,"Itâs a 2 bhk independent house situated in Garia. It has an area of 800 sqft with a carpet area of 700 sqft . The property is available at a monthly rental of Rs. 14,000 . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,880 sq ft",New Alipore,Kolkata,22.5073204,88.32452393,50000,INR,3,Posted a year ago,"A 3 bhk property is available for rental in Merlin Group Pristine, New Alipore, Kolkata. It has a built-up area of 1880 sqft and is available for rent at Rs. 50,000 per month . The house is unfurnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 ac and 1 bed. It has full power backup as well as gated community. The project also has intercom, lift available, children's play area, gymnasium and cctv. It is south facing property. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
3 BHK Apartment,"1,150 sq ft",New Town,Kolkata,22.56552124,88.51185608,16000,INR,2,Posted a month ago,"A 3 bhk property is available for rental in Shapoorji Pallonji Real Estate Shukhobrishti Complex, New Town, Kolkata. It has an area of 1150 sqft with a carpet area of 1020 sqft . The property is available at a monthly rental of Rs. 16,000 . It is an unfurnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,"1,400 sq ft",Haltu,Kolkata,22.50457954,88.39928436,29400,INR,2,Posted 4 years ago,"Itâs a 2 bhk multistorey apartment situated in Avishikta 2, Haltu. It has area of 1400 sqft and is available at a rent of Rs. 30,000. The house is unfurnished. Its main door is facing southeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,823 sq ft,Madhyamgram,Kolkata,22.68212891,88.46234131,18000,INR,2,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Srijan Realty Eternis, Madhyamgram. It has area of 823 sqft and is available at a rent of Rs. 18,000. The house is semi-furnished. It has club house. Other amenities include lift available, cctv, swimming pool, gated community, children's play area, community hall and gymnasium. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,500 sq ft",Tangra,Kolkata,22.55499458,88.3878479,32000,INR,2,Posted 2 months ago,"Itâs a 3 bhk multistorey apartment situated in Ideal Group Niketan, Tangra, Kolkata. It has an area of 1500 sqft . The property is available at a monthly rental of Rs. 32,000 . The house is unfurnished. It is facing northeast direction. It is a 10 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Unfurnished
