house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,286 sq ft",Nelamangala,Bangalore,13.1024437,77.44208527,14000,INR,3,Posted 4 days ago,"It has area of 1286 sqft and is available at a rent of Rs. 14,000. The house is unfurnished. Its main door is facing east direction. It is made in way to provide a comfortable living. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Villa,"2,400 sq ft",Bannerughatta,Bangalore,12.80524635,77.57878113,70000,INR,3,Posted 4 days ago,"A 3 bhk property is available for rent in Bannerughatta, Bangalore. It has area of 2400 sqft and is available at a rent of Rs. 70,000. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,800 sq ft",HSR Layout,Bangalore,12.90570164,77.64897919,60000,INR,3,Posted 2 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Puravankara Limited Purva Fairmont, one of the most prestigious projects of HSR Layout. It has a built-up area of 1800 sqft and is available for rent at Rs. 60,000 per month . The house is semi-furnished. It is a 11 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,240 sq ft",Koramangala,Bangalore,12.92541599,77.63087463,45000,INR,2,Posted 4 days ago,"A 2 bhk property is available for rental in Kolte Patil Developers Floriana Estates, Koramangala, Bangalore. It has area of 1240 sqft and is available at a rent of Rs. 45,000. It is a semi-furnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Villa,"4,800 sq ft",Kannamangala,Bangalore,13.01998711,77.76751709,330000,INR,5,Posted 4 days ago,"It has a built-up area of 4800 sqft and is available for rent at Rs. 3.30 lac per month . The house is semi-furnished. It has gymnasium. Other amenities include swimming pool, power backup, children's play area and gated community. This residential property is ready-to-move-in. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,408 sq ft",Mahalakshmi Layout,Bangalore,13.02032089,77.55115509,36000,INR,3,Posted 4 days ago,"Itâs a 3 bhk multistorey apartment situated in Mahalakshmi Layout, Bangalore. It has a built-up area of 1408 sqft and is available for rent at Rs. 36,000 per month . The house is semi-furnished. It is facing east direction. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,450 sq ft",Kudlu Gate,Bangalore,12.88931656,77.6403656,50000,INR,2,Posted 4 days ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in the heart of Kudlu Gate. It has a built-up area of 1450 sqft and is available for rent at Rs. 50,000 per month . The house is semi-furnished. Its main door is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Villa,"4,000 sq ft",Devanahalli,Bangalore,13.20922279,77.62760162,80000,INR,3,Posted 3 days ago,"Itâs a 3 bhk villa situated in Continental Builders and Developers Swiss Town, Devanahalli, Bangalore. It has a built-up area of 4000 sqft and is available for rent at Rs. 80,000 per month . The house is semi-furnished. It is a 17 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. "," 5,00,000",Semi-Furnished
1 BHK Independent House,500 sq ft,Koramangala,Bangalore,12.94172955,77.61842346,30000,INR,1,Posted 3 days ago,"Itâs a 1 bhk independent house situated in Koramangala, Bangalore. It has area of 500 sqft and is available at a rent of Rs. 30,000. It is a furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Furnished
3 BHK Independent Floor,"2,200 sq ft",HSR Layout,Bangalore,12.91267967,77.64730072,75000,INR,3,Posted 3 days ago,"It has area of 2200 sqft and is available at a rent of Rs. 75,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,200 sq ft",HSR Layout,Bangalore,12.91753387,77.65045929,45000,INR,2,Posted 2 days ago,"Well designed 2 bhk builder floor is available at a prime location in HSR Layout. It has area of 1200 sqft and is available at a rent of Rs. 45,000. The house is semi-furnished. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Independent Floor,"2,000 sq ft",Hulimavu,Bangalore,28.55195999,77.23581696,140000,INR,4,Posted 4 days ago,Well designed 4 bhk builder floor is available at a prime location in Hanumanthappa New Building. It has area of 2000 sqft and is available at a rent of Rs. 1.40 lac. It is a semi-furnished property. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living. Please contact us for more details.," 2,80,000",Semi-Furnished
2 BHK Apartment,971 sq ft,Bagaluru Near Yelahanka,Bangalore,13.14249611,77.68439484,25000,INR,2,Posted 4 days ago,"The house is semi-furnished. It has swimming pool as well as gated community. The project also has intercom, cctv, lift available, power backup, children's play area, community hall, gymnasium and club house. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,750 sq ft,Kasavanahalli,Bangalore,12.90584564,77.67584991,24000,INR,1,Posted 3 days ago,Well designed 1 bhk multistorey apartment is available at a prime location in Kasavanahalli. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details.,No Deposit,Furnished
2 BHK Apartment,"1,300 sq ft",Murugeshpalya,Bangalore,12.95625877,77.65346527,38000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Murugeshpalya, Bangalore. It has an area of 1300 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 38,000 . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
