house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,435 sq ft",Shela,Ahmedabad,23.00182724,72.46485138,35000,INR,3,Posted 2 days ago,"It’s a 3 bhk multistorey apartment situated in Shela. It has an area of 1435 sqft with a carpet area of 861 sqft . The property is available at a monthly rental of Rs. 35,000 . The house is furnished. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,200 sq ft",Ambavadi,Ahmedabad,23.02076149,72.54277039,16000,INR,1,Posted 2 days ago,"It has an area of 1200 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 16,000 . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ","32,000",Semi-Furnished
2 BHK Apartment,970 sq ft,Makarba,Ahmedabad,22.97532272,72.49626923,13000,INR,2,Posted 3 years ago,"It has area of 970 sqft and is available at a rent of Rs. 13,000. The house is semi-furnished. It has community_hall as well as club house. The project also has gymnasium, children's play area, lift available and power backup. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent House,"1,215 sq ft",Chandkheda,Ahmedabad,23.12033844,72.58156586,13000,INR,3,Posted 4 years ago,,No Deposit,Semi-Furnished
4 BHK Apartment,"4,000 sq ft",Ambli,Ahmedabad,23.02811813,72.50505829,200000,INR,2,Posted 3 years ago,"It has an area of 4000 sqft . The property is available at a monthly rental of Rs. 2.00 lac . The house is furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Furnished
4 BHK Apartment,"3,500 sq ft",Bopal,Ahmedabad,23.03118134,72.47650146,100000,INR,5,Posted a year ago,"Here is an excellent 4 BHK Apartment available for rent in Ahmedabad. Surrounded by natural greens and equipped with numerous amenities, this rented 4 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Bopal that enjoys good connectivity to major landmarks of the city. The Apartment is on the 8 floor. There is a total of 22 floors. The Apartment is designed as per modern construction standards. It has 4 bedrooms and 5 bathroom. It is East facing. The 4 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh air. This Apartment has 3500 Square feet of built-up area. It has a carpet area of 2200 Square feet. Project Highlights It is a part of the project JP Iscon Platinum in Bopal. Several lifestyle amenities have been provided for the residents of this Apartment to ensure a sophisticated living. They include Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. Recreational amenities like gym are also available to let you focus on health and fitness. There is a state-of-the-art lift facility. A power backup facility has been provided within this property. Equipped with cctv facility, the property guarantees a secure environment for families. The locality Bopal provides comfortable social infrastructure. Residents have easy access to various healthcare centres like Adwait Multispecialty Hospital, Aashna Orthopedic Hospital, and Laxmi Hospital and Diagnostic Centre. There are several schools nearby like Anand Niketan Shilaj Campus, Sindhu Bhavan, and Kiwo Kids World",No Deposit,Furnished
3 BHK Apartment,"1,850 sq ft",Bopal,Ahmedabad,23.01739311,72.47180939,36000,INR,1,Posted 2 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Aaravi Developers 156, Bopal, Ahmedabad. It has an area of 1850 sqft with a carpet area of 786 sqft . The property is available at a monthly rental of Rs. 36,000 . It is a furnished property. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ",No Deposit,Furnished
3 BHK Apartment,"2,365 sq ft",Chandkheda,Ahmedabad,23.12216949,72.60559845,23500,INR,3,Posted 2 years ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Setu Scarlet, one of the most prestigious projects of Chandkheda. It has area of 2365 sqft and is available at a rent of Rs. 23,500. It is a semi-furnished property. It has power backup. Other amenities include gated community, children's play area, lift available, cctv, gated community, intercom and gymnasium. Its main door is facing north direction. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,200 sq ft",University Area,Ahmedabad,23.04366112,72.54742432,23000,INR,2,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in University Area, Ahmedabad. The house is semi-furnished. Its main door is facing east direction. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,301 sq ft",Shilaj,Ahmedabad,23.04927635,72.47671509,15000,INR,2,Posted 3 years ago,"It’s a 3 bhk multistorey apartment situated in Aashray Constructions Arise, Shilaj. It has an area of 1301 sqft with a carpet area of 990 sqft . The property is available at a monthly rental of Rs. 15,000 . It is a semi-furnished property. It has children's play area as well as cctv. The project also has power backup, lift available, club house, gymnasium and gated_community. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Semi-Furnished
